drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,curvature,0,LinearSVM,0.6367713004484304,0.56,0.5283975659229209,34,24,9,8
Atezo,BLCA,curvature,1,LinearSVM,0.6547085201793722,0.5733333333333334,0.5162271805273834,36,22,10,7
Atezo,BLCA,curvature,2,LinearSVM,0.5874439461883408,0.49333333333333335,0.5060851926977687,28,30,8,9
Atezo,BLCA,curvature,3,LinearSVM,0.672645739910314,0.5733333333333334,0.4954361054766735,37,21,11,6
Atezo,BLCA,curvature,4,LinearSVM,0.7040358744394619,0.5466666666666666,0.4158215010141988,38,20,14,3
Atezo,BLCA,curvature,5,LinearSVM,0.6636771300448431,0.52,0.398580121703854,36,22,14,3
Atezo,BLCA,curvature,6,LinearSVM,0.6278026905829597,0.5466666666666666,0.5197768762677485,33,25,9,8
Atezo,BLCA,curvature,7,LinearSVM,0.6547085201793722,0.56,0.5076064908722109,35,23,10,7
Atezo,BLCA,curvature,8,LinearSVM,0.6233183856502242,0.6266666666666667,0.550709939148073,40,18,10,7
Atezo,BLCA,curvature,9,LinearSVM,0.6188340807174888,0.5866666666666667,0.5040567951318459,38,20,11,6
Atezo,BLCA,curvature,10,LinearSVM,0.6322869955156951,0.5333333333333333,0.49036511156186613,33,25,10,7
Atezo,BLCA,curvature,11,LinearSVM,0.6547085201793722,0.5066666666666667,0.38995943204868155,35,23,14,3
Atezo,BLCA,curvature,12,LinearSVM,0.6502242152466368,0.52,0.37778904665314406,37,21,15,2
Atezo,BLCA,curvature,13,LinearSVM,0.6098654708520179,0.5466666666666666,0.4989858012170385,34,24,10,7
Atezo,BLCA,curvature,14,LinearSVM,0.6547085201793722,0.4533333333333333,0.4178498985801217,28,30,11,6
Atezo,BLCA,curvature,15,LinearSVM,0.6188340807174888,0.6,0.49188640973630837,40,18,12,5
Atezo,BLCA,curvature,16,LinearSVM,0.6412556053811659,0.48,0.45588235294117646,29,29,10,7
Atezo,BLCA,curvature,17,LinearSVM,0.672645739910314,0.6266666666666667,0.5091277890466531,42,16,12,5
Atezo,BLCA,curvature,18,LinearSVM,0.6681614349775785,0.49333333333333335,0.4437119675456389,31,27,11,6
Atezo,BLCA,curvature,19,LinearSVM,0.6053811659192825,0.6266666666666667,0.571501014198783,39,19,9,8
Atezo,BLCA,curvature,20,LinearSVM,0.6143497757847534,0.6,0.5126774847870182,39,19,11,6
Atezo,BLCA,curvature,21,LinearSVM,0.6502242152466368,0.5866666666666667,0.4832657200811359,39,19,12,5
Atezo,BLCA,curvature,22,LinearSVM,0.6502242152466368,0.5866666666666667,0.4832657200811359,39,19,12,5
Atezo,BLCA,curvature,23,LinearSVM,0.6322869955156951,0.68,0.6475659229208925,41,17,7,10
Atezo,BLCA,curvature,24,LinearSVM,0.6591928251121076,0.4666666666666667,0.42647058823529416,29,29,11,6
Atezo,BLCA,curvature,25,LinearSVM,0.6816143497757847,0.5866666666666667,0.5248478701825559,37,21,10,7
Atezo,BLCA,curvature,26,LinearSVM,0.6278026905829597,0.5333333333333333,0.46957403651115615,34,24,11,6
Atezo,BLCA,curvature,27,LinearSVM,0.6502242152466368,0.5466666666666666,0.5405679513184585,32,26,8,9
Atezo,BLCA,curvature,28,LinearSVM,0.6636771300448431,0.6266666666666667,0.5091277890466531,42,16,12,5
Atezo,BLCA,curvature,29,LinearSVM,0.6771300448430493,0.7066666666666667,0.6440162271805274,44,14,8,9
Atezo,BLCA,curvature,30,LinearSVM,0.6412556053811659,0.5733333333333334,0.5162271805273834,36,22,10,7
Atezo,BLCA,curvature,31,LinearSVM,0.6547085201793722,0.6533333333333333,0.526369168356998,44,14,12,5
Atezo,BLCA,curvature,32,LinearSVM,0.6457399103139013,0.6266666666666667,0.5091277890466531,42,16,12,5
Atezo,BLCA,curvature,33,LinearSVM,0.6367713004484304,0.6133333333333333,0.5005070993914807,41,17,12,5
Atezo,BLCA,curvature,34,LinearSVM,0.5739910313901345,0.68,0.6475659229208925,41,17,7,10
Atezo,BLCA,curvature,35,LinearSVM,0.6547085201793722,0.5466666666666666,0.5197768762677485,33,25,9,8
Atezo,BLCA,curvature,36,LinearSVM,0.6771300448430493,0.52,0.46095334685598377,33,25,11,6
Atezo,BLCA,curvature,37,LinearSVM,0.6681614349775785,0.5333333333333333,0.46957403651115615,34,24,11,6
Atezo,BLCA,curvature,38,LinearSVM,0.6412556053811659,0.4666666666666667,0.4056795131845842,30,28,12,5
Atezo,BLCA,curvature,39,LinearSVM,0.6053811659192825,0.5333333333333333,0.46957403651115615,34,24,11,6
Atezo,BLCA,curvature,40,LinearSVM,0.6860986547085202,0.6933333333333334,0.5938133874239351,45,13,10,7
Atezo,BLCA,curvature,41,LinearSVM,0.6188340807174888,0.52,0.5025354969574036,31,27,9,8
Atezo,BLCA,curvature,42,LinearSVM,0.6457399103139013,0.49333333333333335,0.42292089249492903,32,26,12,5
Atezo,BLCA,curvature,43,LinearSVM,0.6681614349775785,0.6266666666666667,0.571501014198783,39,19,9,8
Atezo,BLCA,curvature,44,LinearSVM,0.672645739910314,0.56,0.486815415821501,36,22,11,6
Atezo,BLCA,curvature,45,LinearSVM,0.6591928251121076,0.5066666666666667,0.3483772819472617,37,21,16,1
Atezo,BLCA,curvature,46,LinearSVM,0.6816143497757847,0.5866666666666667,0.44168356997971603,41,17,14,3
Atezo,BLCA,curvature,47,LinearSVM,0.6233183856502242,0.5466666666666666,0.5405679513184585,32,26,8,9
Atezo,BLCA,curvature,48,LinearSVM,0.6233183856502242,0.5333333333333333,0.511156186612576,32,26,9,8
Atezo,BLCA,curvature,49,LinearSVM,0.6367713004484304,0.5866666666666667,0.44168356997971603,41,17,14,3
Atezo,BLCA,weights,0,LinearSVM,1.0,0.6666666666666666,0.5973630831643002,42,16,9,8
Atezo,BLCA,weights,1,LinearSVM,1.0,0.64,0.6424949290060853,37,21,6,11
Atezo,BLCA,weights,2,LinearSVM,1.0,0.6533333333333333,0.547160243407708,43,15,11,6
Atezo,BLCA,weights,3,LinearSVM,1.0,0.6,0.5542596348884381,37,21,9,8
Atezo,BLCA,weights,4,LinearSVM,1.0,0.6533333333333333,0.547160243407708,43,15,11,6
Atezo,BLCA,weights,5,LinearSVM,1.0,0.6133333333333333,0.5005070993914807,41,17,12,5
Atezo,BLCA,weights,6,LinearSVM,1.0,0.72,0.59026369168357,48,10,11,6
Atezo,BLCA,weights,7,LinearSVM,1.0,0.5733333333333334,0.4954361054766735,37,21,11,6
Atezo,BLCA,weights,8,LinearSVM,1.0,0.7066666666666667,0.6024340770791075,46,12,10,7
Atezo,BLCA,weights,9,LinearSVM,1.0,0.6,0.4710953346855984,41,17,13,4
Atezo,BLCA,weights,10,LinearSVM,1.0,0.6933333333333334,0.6561866125760649,42,16,7,10
Atezo,BLCA,weights,11,LinearSVM,1.0,0.7733333333333333,0.6455375253549696,51,7,10,7
Atezo,BLCA,weights,12,LinearSVM,1.0,0.68,0.6059837728194726,43,15,9,8
Atezo,BLCA,weights,13,LinearSVM,1.0,0.6933333333333334,0.5938133874239351,45,13,10,7
Atezo,BLCA,weights,14,LinearSVM,1.0,0.64,0.5385395537525355,42,16,11,6
Atezo,BLCA,weights,15,LinearSVM,1.0,0.64,0.4969574036511156,44,14,13,4
Atezo,BLCA,weights,16,LinearSVM,1.0,0.6533333333333333,0.526369168356998,44,14,12,5
Atezo,BLCA,weights,17,LinearSVM,1.0,0.6933333333333334,0.6561866125760649,42,16,7,10
Atezo,BLCA,weights,18,LinearSVM,1.0,0.64,0.5385395537525355,42,16,11,6
Atezo,BLCA,weights,19,LinearSVM,1.0,0.6133333333333333,0.4589249492900609,43,15,14,3
Atezo,BLCA,weights,20,LinearSVM,1.0,0.64,0.5801217038539555,40,18,9,8
Atezo,BLCA,weights,21,LinearSVM,1.0,0.68,0.6059837728194726,43,15,9,8
Atezo,BLCA,weights,22,LinearSVM,1.0,0.6533333333333333,0.5679513184584178,42,16,10,7
Atezo,BLCA,weights,23,LinearSVM,1.0,0.6533333333333333,0.547160243407708,43,15,11,6
Atezo,BLCA,weights,24,LinearSVM,1.0,0.6666666666666666,0.5765720081135903,43,15,10,7
