drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Atezo,KIRC,curvature,0,LinearSVM,0.616,0.5238095238095238,0.5166666666666666,16,14,6,6
Atezo,KIRC,curvature,1,LinearSVM,0.696,0.5238095238095238,0.4916666666666667,17,13,7,5
Atezo,KIRC,curvature,2,LinearSVM,0.584,0.5238095238095238,0.5416666666666667,15,15,5,7
Atezo,KIRC,curvature,3,LinearSVM,0.6,0.5476190476190477,0.5583333333333333,16,14,5,7
Atezo,KIRC,curvature,4,LinearSVM,0.632,0.5238095238095238,0.5666666666666667,14,16,4,8
Atezo,KIRC,curvature,5,LinearSVM,0.616,0.4523809523809524,0.4666666666666667,13,17,6,6
Atezo,KIRC,curvature,6,LinearSVM,0.672,0.38095238095238093,0.39166666666666666,11,19,7,5
Atezo,KIRC,curvature,7,LinearSVM,0.56,0.42857142857142855,0.5,10,20,4,8
Atezo,KIRC,curvature,8,LinearSVM,0.608,0.4523809523809524,0.5166666666666666,11,19,4,8
Atezo,KIRC,curvature,9,LinearSVM,0.624,0.5238095238095238,0.5666666666666667,14,16,4,8
Atezo,KIRC,curvature,10,LinearSVM,0.616,0.5,0.475,16,14,7,5
Atezo,KIRC,curvature,11,LinearSVM,0.616,0.47619047619047616,0.5083333333333333,13,17,5,7
Atezo,KIRC,curvature,12,LinearSVM,0.648,0.4523809523809524,0.44166666666666665,14,16,7,5
Atezo,KIRC,curvature,13,LinearSVM,0.496,0.5476190476190477,0.6083333333333334,14,16,3,9
Atezo,KIRC,curvature,14,LinearSVM,0.64,0.5714285714285714,0.44999999999999996,22,8,10,2
Atezo,KIRC,curvature,15,LinearSVM,0.656,0.5952380952380952,0.6166666666666667,17,13,4,8
Atezo,KIRC,curvature,16,LinearSVM,0.568,0.40476190476190477,0.45833333333333337,10,20,5,7
Atezo,KIRC,curvature,17,LinearSVM,0.656,0.38095238095238093,0.39166666666666666,11,19,7,5
Atezo,KIRC,curvature,18,LinearSVM,0.6,0.6428571428571429,0.7,17,13,2,10
Atezo,KIRC,curvature,19,LinearSVM,0.584,0.5238095238095238,0.5666666666666667,14,16,4,8
Atezo,KIRC,curvature,20,LinearSVM,0.68,0.4523809523809524,0.41666666666666663,15,15,8,4
Atezo,KIRC,curvature,21,LinearSVM,0.592,0.47619047619047616,0.5083333333333333,13,17,5,7
Atezo,KIRC,curvature,22,LinearSVM,0.672,0.5238095238095238,0.5166666666666666,16,14,6,6
Atezo,KIRC,curvature,23,LinearSVM,0.512,0.40476190476190477,0.4833333333333333,9,21,4,8
Atezo,KIRC,curvature,24,LinearSVM,0.568,0.38095238095238093,0.44166666666666665,9,21,5,7
Atezo,KIRC,curvature,25,LinearSVM,0.664,0.5,0.44999999999999996,17,13,8,4
Atezo,KIRC,curvature,26,LinearSVM,0.56,0.5952380952380952,0.6916666666666667,14,16,1,11
Atezo,KIRC,curvature,27,LinearSVM,0.6,0.5238095238095238,0.4916666666666667,17,13,7,5
Atezo,KIRC,curvature,28,LinearSVM,0.6,0.5238095238095238,0.5416666666666667,15,15,5,7
Atezo,KIRC,curvature,29,LinearSVM,0.552,0.6428571428571429,0.7,17,13,2,10
Atezo,KIRC,curvature,30,LinearSVM,0.6,0.42857142857142855,0.525,9,21,3,9
Atezo,KIRC,curvature,31,LinearSVM,0.56,0.6190476190476191,0.6833333333333333,16,14,2,10
Atezo,KIRC,curvature,32,LinearSVM,0.576,0.47619047619047616,0.5583333333333333,11,19,3,9
Atezo,KIRC,curvature,33,LinearSVM,0.664,0.3333333333333333,0.3333333333333333,10,20,8,4
Atezo,KIRC,curvature,34,LinearSVM,0.632,0.5,0.525,14,16,5,7
Atezo,KIRC,curvature,35,LinearSVM,0.64,0.5476190476190477,0.5583333333333333,16,14,5,7
Atezo,KIRC,curvature,36,LinearSVM,0.608,0.5238095238095238,0.4916666666666667,17,13,7,5
Atezo,KIRC,curvature,37,LinearSVM,0.56,0.5476190476190477,0.5833333333333333,15,15,4,8
Atezo,KIRC,curvature,38,LinearSVM,0.64,0.5714285714285714,0.575,17,13,5,7
Atezo,KIRC,curvature,39,LinearSVM,0.624,0.6904761904761905,0.6833333333333333,21,9,4,8
Atezo,KIRC,curvature,40,LinearSVM,0.688,0.4523809523809524,0.5166666666666666,11,19,4,8
Atezo,KIRC,curvature,41,LinearSVM,0.568,0.47619047619047616,0.5833333333333334,10,20,2,10
Atezo,KIRC,curvature,42,LinearSVM,0.56,0.4523809523809524,0.4916666666666667,12,18,5,7
Atezo,KIRC,curvature,43,LinearSVM,0.624,0.5952380952380952,0.5916666666666667,18,12,5,7
Atezo,KIRC,curvature,44,LinearSVM,0.616,0.6190476190476191,0.6083333333333334,19,11,5,7
Atezo,KIRC,curvature,45,LinearSVM,0.632,0.5714285714285714,0.5,20,10,8,4
Atezo,KIRC,curvature,46,LinearSVM,0.584,0.5238095238095238,0.5166666666666666,16,14,6,6
Atezo,KIRC,curvature,47,LinearSVM,0.656,0.5476190476190477,0.5083333333333333,18,12,7,5
Atezo,KIRC,curvature,48,LinearSVM,0.648,0.5,0.5,15,15,6,6
Atezo,KIRC,curvature,49,LinearSVM,0.656,0.5476190476190477,0.5833333333333333,15,15,4,8
Atezo,KIRC,weights,0,LinearSVM,1.0,0.6190476190476191,0.6083333333333334,19,11,5,7
Atezo,KIRC,weights,1,LinearSVM,1.0,0.5714285714285714,0.5,20,10,8,4
Atezo,KIRC,weights,2,LinearSVM,1.0,0.47619047619047616,0.4083333333333333,17,13,9,3
Atezo,KIRC,weights,3,LinearSVM,1.0,0.38095238095238093,0.3416666666666667,13,17,9,3
Atezo,KIRC,weights,4,LinearSVM,1.0,0.5,0.39999999999999997,19,11,10,2
Atezo,KIRC,weights,5,LinearSVM,1.0,0.5714285714285714,0.5,20,10,8,4
Atezo,KIRC,weights,6,LinearSVM,1.0,0.6190476190476191,0.5083333333333333,23,7,9,3
Atezo,KIRC,weights,7,LinearSVM,1.0,0.5952380952380952,0.5166666666666666,21,9,8,4
Atezo,KIRC,weights,8,LinearSVM,1.0,0.47619047619047616,0.45833333333333337,15,15,7,5
Atezo,KIRC,weights,9,LinearSVM,1.0,0.5952380952380952,0.5416666666666666,20,10,7,5
Atezo,KIRC,weights,10,LinearSVM,1.0,0.5,0.44999999999999996,17,13,8,4
Atezo,KIRC,weights,11,LinearSVM,1.0,0.5,0.44999999999999996,17,13,8,4
Atezo,KIRC,weights,12,LinearSVM,1.0,0.5,0.44999999999999996,17,13,8,4
Atezo,KIRC,weights,13,LinearSVM,1.0,0.5,0.475,16,14,7,5
Atezo,KIRC,weights,14,LinearSVM,1.0,0.5952380952380952,0.5166666666666666,21,9,8,4
Atezo,KIRC,weights,15,LinearSVM,1.0,0.5476190476190477,0.5833333333333333,15,15,4,8
Atezo,KIRC,weights,16,LinearSVM,1.0,0.6666666666666666,0.5916666666666667,23,7,7,5
Atezo,KIRC,weights,17,LinearSVM,1.0,0.5476190476190477,0.4833333333333333,19,11,8,4
Atezo,KIRC,weights,18,LinearSVM,1.0,0.6904761904761905,0.5833333333333334,25,5,8,4
Atezo,KIRC,weights,19,LinearSVM,1.0,0.5,0.5,15,15,6,6
Atezo,KIRC,weights,20,LinearSVM,1.0,0.5476190476190477,0.4833333333333333,19,11,8,4
Atezo,KIRC,weights,21,LinearSVM,1.0,0.5952380952380952,0.5416666666666666,20,10,7,5
Atezo,KIRC,weights,22,LinearSVM,1.0,0.6428571428571429,0.625,20,10,5,7
Atezo,KIRC,weights,23,LinearSVM,1.0,0.5238095238095238,0.5166666666666666,16,14,6,6
Atezo,KIRC,weights,24,LinearSVM,1.0,0.6190476190476191,0.5583333333333333,21,9,7,5
Atezo,KIRC,weights,25,LinearSVM,1.0,0.42857142857142855,0.4,14,16,8,4
Atezo,KIRC,weights,26,LinearSVM,1.0,0.5952380952380952,0.5166666666666666,21,9,8,4
Atezo,KIRC,weights,27,LinearSVM,1.0,0.5952380952380952,0.6166666666666667,17,13,4,8
Atezo,KIRC,weights,28,LinearSVM,1.0,0.5714285714285714,0.55,18,12,6,6
Atezo,KIRC,weights,29,LinearSVM,1.0,0.6666666666666666,0.5416666666666667,25,5,9,3
