drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test Balanced Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,curvature,0,1.0,1.0,0.7333333333333333,0.5780933062880325,0.5598377281947262,50,8,12,5
Atezo,BLCA,curvature,1,0.9551569506726457,0.9931600547195623,0.7466666666666667,0.6490872210953347,0.7271805273833671,48,10,9,8
Atezo,BLCA,curvature,2,1.0,1.0,0.7466666666666667,0.6075050709939148,0.6095334685598378,50,8,11,6
Atezo,BLCA,curvature,3,0.9551569506726457,0.9917920656634747,0.6933333333333334,0.5730223123732252,0.6247464503042597,46,12,11,6
Atezo,BLCA,curvature,4,0.9551569506726457,0.9915640674874601,0.7333333333333333,0.5988843813387424,0.5862068965517241,49,9,11,6
Atezo,BLCA,weights,0,1.0,1.0,0.6266666666666667,0.46754563894523327,0.5354969574036511,44,14,14,3
Atezo,BLCA,weights,1,1.0,1.0,0.6933333333333334,0.5938133874239351,0.4726166328600405,45,13,10,7
Atezo,BLCA,weights,2,1.0,1.0,0.7066666666666667,0.5816430020283976,0.6298174442190669,47,11,11,6
Atezo,BLCA,weights,3,1.0,1.0,0.64,0.5385395537525355,0.5466531440162272,42,16,11,6
Atezo,BLCA,weights,4,0.9955156950672646,1.0,0.72,0.5486815415821501,0.6237322515212982,50,8,13,4
Atezo,BLCA,expression,0,0.905829596412556,0.952234382124943,0.6666666666666666,0.5973630831643002,0.6450304259634888,42,16,9,8
Atezo,BLCA,expression,1,1.0,1.0,0.64,0.4969574036511156,0.5121703853955375,44,14,13,4
Atezo,BLCA,expression,2,1.0,1.0,0.6666666666666666,0.4934077079107505,0.45030425963488846,47,11,14,3
Atezo,BLCA,expression,3,1.0,1.0,0.6666666666666666,0.5141987829614605,0.5172413793103448,46,12,13,4
Atezo,BLCA,expression,4,0.9820627802690582,1.0,0.72,0.6526369168356998,0.7150101419878295,45,13,8,9
Atezo,BLCA,curvature-hist,0,0.7130044843049327,0.7640218878248974,0.5733333333333334,0.4746450304259635,0.47667342799188644,38,20,12,5
Atezo,BLCA,curvature-hist,1,0.7040358744394619,0.7177382580939352,0.52,0.46095334685598377,0.5040567951318459,33,25,11,6
Atezo,BLCA,curvature-hist,2,0.6905829596412556,0.763109895120839,0.5466666666666666,0.47819472616632863,0.46957403651115615,35,23,11,6
Atezo,BLCA,curvature-hist,3,0.6995515695067265,0.7204742362061103,0.6266666666666667,0.592292089249493,0.592292089249493,38,20,8,9
Atezo,BLCA,curvature-hist,4,0.7174887892376681,0.7862517099863201,0.56,0.486815415821501,0.4482758620689655,36,22,11,6
Atezo,BLCA,weights-pca,0,0.7309417040358744,0.7916096671226631,0.5866666666666667,0.5248478701825559,0.5649087221095335,37,21,10,7
Atezo,BLCA,weights-pca,1,0.6995515695067265,0.7705198358413133,0.6533333333333333,0.6511156186612577,0.6663286004056795,38,20,6,11
Atezo,BLCA,weights-pca,2,0.7354260089686099,0.801983584131327,0.6133333333333333,0.5628803245436105,0.5872210953346856,38,20,9,8
Atezo,BLCA,weights-pca,3,0.6771300448430493,0.7612859097127223,0.6933333333333334,0.5938133874239351,0.6683569979716024,45,13,10,7
Atezo,BLCA,weights-pca,4,0.7130044843049327,0.7909256725946193,0.56,0.5699797160243407,0.5801217038539553,32,26,7,10
Atezo,BLCA,expression-pca,0,0.7354260089686099,0.7950296397628819,0.6666666666666666,0.6389452332657202,0.6734279918864097,40,18,7,10
Atezo,BLCA,expression-pca,1,0.7219730941704036,0.7875056999544003,0.7333333333333333,0.6612576064908722,0.713995943204868,46,12,8,9
Atezo,BLCA,expression-pca,2,0.7085201793721974,0.7878476972184223,0.64,0.5801217038539555,0.6318458417849899,40,18,9,8
Atezo,BLCA,expression-pca,3,0.7309417040358744,0.8023255813953488,0.6533333333333333,0.6303245436105477,0.6348884381338743,39,19,7,10
Atezo,BLCA,expression-pca,4,0.7085201793721974,0.7559279525763793,0.7733333333333333,0.7287018255578093,0.7951318458417851,47,11,6,11
Atezo,BLCA,curvature-pca,0,0.7399103139013453,0.7685818513451892,0.6,0.5542596348884381,0.5720081135902637,37,21,9,8
Atezo,BLCA,curvature-pca,1,0.6905829596412556,0.7518239854081167,0.6666666666666666,0.5557809330628803,0.6054766734279919,44,14,11,6
Atezo,BLCA,curvature-pca,2,0.7309417040358744,0.781235750113999,0.6666666666666666,0.5557809330628803,0.5730223123732252,44,14,11,6
Atezo,BLCA,curvature-pca,3,0.7085201793721974,0.7563839489284085,0.7333333333333333,0.7028397565922921,0.6754563894523327,44,14,6,11
Atezo,BLCA,curvature-pca,4,0.7399103139013453,0.7962836297309622,0.6266666666666667,0.550709939148073,0.5385395537525355,40,18,10,7
