drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Pembro,SKCM,curvature,0,LinearSVM,0.5833333333333334,0.5454545454545454,0.5300751879699248,12,7,8,6
Pembro,SKCM,curvature,1,LinearSVM,0.65625,0.3333333333333333,0.3270676691729323,7,12,10,4
Pembro,SKCM,curvature,2,LinearSVM,0.6458333333333334,0.3939393939393939,0.37030075187969924,10,9,11,3
Pembro,SKCM,curvature,3,LinearSVM,0.6770833333333334,0.48484848484848486,0.4398496240601504,14,5,12,2
Pembro,SKCM,curvature,4,LinearSVM,0.65625,0.42424242424242425,0.3966165413533835,11,8,11,3
Pembro,SKCM,curvature,5,LinearSVM,0.6145833333333334,0.42424242424242425,0.40601503759398494,10,9,10,4
Pembro,SKCM,curvature,6,LinearSVM,0.59375,0.5151515151515151,0.4943609022556391,12,7,9,5
Pembro,SKCM,curvature,7,LinearSVM,0.5833333333333334,0.5757575757575758,0.5939849624060151,9,10,4,10
Pembro,SKCM,curvature,8,LinearSVM,0.6458333333333334,0.48484848484848486,0.48684210526315785,9,10,7,7
Pembro,SKCM,curvature,9,LinearSVM,0.6041666666666666,0.5454545454545454,0.5488721804511278,10,9,6,8
Pembro,SKCM,curvature,10,LinearSVM,0.65625,0.5151515151515151,0.5225563909774436,9,10,6,8
Pembro,SKCM,curvature,11,LinearSVM,0.5625,0.6060606060606061,0.6015037593984962,12,7,6,8
Pembro,SKCM,curvature,12,LinearSVM,0.625,0.5757575757575758,0.5845864661654135,10,9,5,9
Pembro,SKCM,curvature,13,LinearSVM,0.65625,0.48484848484848486,0.4398496240601504,14,5,12,2
Pembro,SKCM,curvature,14,LinearSVM,0.5729166666666666,0.48484848484848486,0.46804511278195493,11,8,9,5
Pembro,SKCM,curvature,15,LinearSVM,0.6145833333333334,0.48484848484848486,0.48684210526315785,9,10,7,7
Pembro,SKCM,curvature,16,LinearSVM,0.6145833333333334,0.45454545454545453,0.4323308270676692,11,8,10,4
Pembro,SKCM,curvature,17,LinearSVM,0.5520833333333334,0.45454545454545453,0.4605263157894737,8,11,7,7
Pembro,SKCM,curvature,18,LinearSVM,0.625,0.5454545454545454,0.5112781954887218,14,5,10,4
Pembro,SKCM,curvature,19,LinearSVM,0.6145833333333334,0.5757575757575758,0.5375939849624061,15,4,10,4
Pembro,SKCM,curvature,20,LinearSVM,0.6145833333333334,0.45454545454545453,0.42293233082706766,12,7,11,3
Pembro,SKCM,curvature,21,LinearSVM,0.5416666666666666,0.36363636363636365,0.3533834586466165,8,11,10,4
Pembro,SKCM,curvature,22,LinearSVM,0.59375,0.36363636363636365,0.3721804511278195,6,13,8,6
Pembro,SKCM,curvature,23,LinearSVM,0.6354166666666666,0.6060606060606061,0.5639097744360901,16,3,10,4
Pembro,SKCM,curvature,24,LinearSVM,0.625,0.42424242424242425,0.424812030075188,8,11,8,6
Pembro,SKCM,curvature,25,LinearSVM,0.5833333333333334,0.42424242424242425,0.424812030075188,8,11,8,6
Pembro,SKCM,curvature,26,LinearSVM,0.5833333333333334,0.5151515151515151,0.5319548872180451,8,11,5,9
Pembro,SKCM,curvature,27,LinearSVM,0.53125,0.6666666666666666,0.6353383458646616,16,3,8,6
Pembro,SKCM,curvature,28,LinearSVM,0.5833333333333334,0.48484848484848486,0.46804511278195493,11,8,9,5
Pembro,SKCM,curvature,29,LinearSVM,0.5729166666666666,0.48484848484848486,0.47744360902255634,10,9,8,6
Pembro,SKCM,curvature,30,LinearSVM,0.59375,0.48484848484848486,0.49624060150375937,8,11,6,8
Pembro,SKCM,curvature,31,LinearSVM,0.5416666666666666,0.45454545454545453,0.45112781954887216,9,10,8,6
Pembro,SKCM,curvature,32,LinearSVM,0.625,0.42424242424242425,0.424812030075188,8,11,8,6
Pembro,SKCM,curvature,33,LinearSVM,0.5833333333333334,0.48484848484848486,0.45864661654135336,12,7,10,4
Pembro,SKCM,curvature,34,LinearSVM,0.625,0.5151515151515151,0.5037593984962406,11,8,8,6
Pembro,SKCM,curvature,35,LinearSVM,0.6145833333333334,0.5454545454545454,0.49248120300751874,16,3,12,2
Pembro,SKCM,curvature,36,LinearSVM,0.59375,0.5151515151515151,0.4943609022556391,12,7,9,5
Pembro,SKCM,curvature,37,LinearSVM,0.5833333333333334,0.48484848484848486,0.47744360902255634,10,9,8,6
Pembro,SKCM,curvature,38,LinearSVM,0.5729166666666666,0.45454545454545453,0.4793233082706767,6,13,5,9
Pembro,SKCM,curvature,39,LinearSVM,0.5833333333333334,0.3939393939393939,0.3890977443609023,8,11,9,5
Pembro,SKCM,curvature,40,LinearSVM,0.65625,0.5757575757575758,0.575187969924812,11,8,6,8
Pembro,SKCM,curvature,41,LinearSVM,0.6666666666666666,0.42424242424242425,0.41541353383458646,9,10,9,5
Pembro,SKCM,curvature,42,LinearSVM,0.59375,0.5151515151515151,0.5225563909774436,9,10,6,8
Pembro,SKCM,curvature,43,LinearSVM,0.59375,0.45454545454545453,0.44172932330827064,10,9,9,5
Pembro,SKCM,curvature,44,LinearSVM,0.5208333333333334,0.45454545454545453,0.4323308270676692,11,8,10,4
Pembro,SKCM,curvature,45,LinearSVM,0.5729166666666666,0.6060606060606061,0.5639097744360901,16,3,10,4
Pembro,SKCM,curvature,46,LinearSVM,0.5729166666666666,0.5454545454545454,0.5300751879699248,12,7,8,6
